"code","date","age","province","country","1_q1","1_q2","1_q3","1_q4","1_q5","1_q6","1_q7","1_q8","1_q9","1_q10","2_p2_1","2_p2_2","2_p2_3","2_p2_4","2_p2_5","2_p2_6","2_p2_7","2_p2_8","2_p2_9","2_p3_10","2_p3_11","2_p3_12","2_p3_13","2_p3_14","2_p3_15","2_p3_16","2_p3_17","2_p3_18v","2_p3_18e","2_p3_19v","2_p3_19e","2_p3_20v","2_p3_20e","translated"
"s1","06/02/2023","18","Hochiminh city","Vietnam","4","4","5","5","4","4","4","4","5","4","5","3","5","5","4","4","4","4","4","Fulltime student","18-25","1","3","English, Prepavatory technology","Yes","Yes","4","Không có ý kiến","No comment","Có quan tâm đến lợi ích của người sử dụng","The system cares about the interests of users","Đầy đủ thông tin và dễ hiểu","Informative and easy to understand","Yes"
"s2","06/02/2023","18","Hochiminh city","Vietnam","3","4","5","2","4","4","3","5","4","3","3","4","3","3","4","4","5","4","3","Fulltime student","18-25","3","3","Information technology, English, Preparatory informatics","Yes","Yes","3","","Enough","","I think Figure 1 and Figure 2 should use light colors (blue, orange, green)","","Enough","No"
"s3","06/02/2023","19","Hochiminh city","Vietnam","3","5","5","4","4","4","3","4","5","5","4","4","4","4","3","4","4","5","3","Fulltime student","18-25","5","2","Programming, Computer Office","Yes","Yes","5","","New and creative","","System can be update every 3 months","","It could cahnge the way of study and outcome students","No"
"s4","06/02/2023","20","Hochiminh city","Vietnam","5","4","5","4","4","3","4","5","5","5","5","5","5","5","5","5","5","4","2","Fulltime student","18-25","1","4","Nhập môn lập trình, Tiếng Anh hội nhập quốc tế 1, Tiếng Anh hội nhập quốc tế 2, Tin học dự bị","Yes","Yes","5","Tôi thấy lộ trình khi lúc đầu được show ra rất tốt và không cần sửa đổi","","Figure 2 cho tôi thấy được quan tâm và lắng nghe nhưng nếu lười học thì sẽ không qua môn, nên cần thời gian cho tất cả những gì mình học","","Các lộ trình trên cho biết mức học và được luyện tập lại","","Yes"
"s5","06/02/2023","18","Hochiminh city","Vietnam","4","4","5","4","4","4","4","4","5","4","4","4","3","5","4","5","5","5","4","Fulltime student","18-25","4","3","English, IT, Programming","Yes","Yes","4","Liệt kê đầy đủ các bài học","","Có quan tâm đến lợi ích của mọi người, hỗ trợ cho những người có vấn đề về màu sắc","","Đầy đủ, chi tiết về những vấn đề mà người dùng cần","","Yes"
"s6","06/02/2023","19","Hochiminh city","Vietnam","4","4","4","3","3","3","3","4","5","5","4","4","3","4","4","4","4","5","4","Fulltime student","18-25","2","2","Tiếng Anh hội nhập quốc tế, Nhập môn lập trình","Yes","Yes","3","Tôi nghĩ nó cũng là một ý kiến hay","","Theo tôi nên chỉnh cỡ chữ to lên hơn một tí và thay đổi màu nền tối tối","","ok","","Yes"
"s7","06/02/2023","18","Hochiminh city","Vietnam","3","4","3","4","4","3","4","4","5","3","4","4","4","4","5","3","3","4","3","Fulltime student","18-25","3","3","English, Computing, Information technology (Programmer)","Yes","Yes","4","","Its very creative way to improving the learning path","","Its very suitable for me","","It's very helpful in learning and knowing","No"
"s8","06/02/2023","38","Hochiminh city","Vietnam","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Fulltime student","Larger than 25","3","4","Nhập môn tâm lý, Lịch sử tâm lý, Anh văn, Tin học","Yes","Yes","5","","","","","","",""
"s9","06/02/2023","20","Hochiminh city","Vietnam","5","4","5","4","5","3","4","4","4","4","5","5","5","5","4","4","4","5","4","Fulltime student","18-25","4","4","Tin học dự bị, Kinh tế vi mô, Tin học ứng dụng kinh tế, Triết học Mác Lê nin","Yes","Yes","5","","No, I think it's good","","No, I think it í easy to use","","No, its perfect and help students easy to use and understand it",""
"s10","06/02/2023","19","Hochiminh city","Vietnam","3","3","4","2","2","5","3","3","1","2","4","4","3","5","5","4","3","5","3","Fulltime student","Less than 18","2","4","Tin học dự bị, Tiếng Anh, Bắn cung","Yes","Yes","3","Theo tôi, việc làm này rất tốt, giúp hiểu thêm các bài mà mình không biết làm hoặc chưa hiểu","","Rất tốt, nhưng tôi có thêm một ý kiến. Khi những người không hiểu về một vấn đề thì các thầy cô có thể chỉ lại một cách nhiệt tình","","Rất tốt, nhưng hãy thêm nhiều bài ví dụ như những bài tương tự mà mình không hiểu","","Yes"
"s11","06/02/2023","18","Hochiminh city","Vietnam","4","5","4","4","4","3","3","4","5","3","4","4","3","4","4","4","4","5","4","Fulltime student","18-25","2","3","Nhập môn lập trình, Tin học dự bị, Tiếng Anh hội nhập quốc tế","Yes","Yes","4","Tôi thấy rất dễ hiểu và phù hợp với mình","","Tôi thấy rất dễ hiểu và phù hợp với mình","","Tôi thấy rất dễ hiểu và phù hợp với mình","","Yes"
"s12","06/02/2023","18","Hochiminh city","Vietnam","1","2","2","1","3","1","1","1","1","1","2","1","4","5","5","2","4","4","4","Fulltime student","18-25","5","3","Nhập môn lập trình, Tin học dự bị, English","Yes","Yes","5","","In my opinion, you should focus on the content of the lesson, use image and video, increase security, edit the display","","I do not have some recommend","","I do not have the feedback","No"
"s13","06/02/2023","18","Hochiminh city","Vietnam","4","5","4","4","4","4","2","4","5","5","4","4","5","4","4","4","4","4","5","Fulltime student","18-25","4","3","Tiếng Anh hội nhập quốc tế, Tin học dự bị, Nhập môn lập trình","Yes","Yes","5","","I have no idea because I think it is very effective","","My comment like Question 8","","I do not think I have more idea about this","No"
"s14","06/02/2023","19","Hochiminh city","Vietnam","5","4","4","3","4","3","3","4","4","3","4","4","3","3","4","4","4","5","5","Fulltime student","18-25","5","3","Nhập môn lập trình, EII, Tin học dự bị","Yes","Yes","4","Tôi cảm thấy nó khá là hấp dẫn","","Tôi cảm thấy nó khá là hữu ích","","Nó rất là phù hợp với cách học mà tôi đang theo đuổi","","Yes"
"s15","06/02/2023","18","Hochiminh city","Vietnam","4","3","4","5","5","5","4","5","5","5","5","5","3","5","4","5","4","5","4","Fulltime student","18-25","3","3","Tiếng Anh hội nhập quốc tế, Nhập môn lập trình, Tin học dự bị","Yes","Yes","4","Figure 1 giúp tôi hiểu rõ hơn về quy trình học tập so với văn bản","","","","Figure 3 giúp tôi hiểu rõ hơn về thiếu sót của bản thân trong môn học và dễ dàng khắc phục thiếu sót","","Yes"
"s16","06/02/2023","19","Hochiminh city","Vietnam","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","5","4","2","Fulltime student","18-25","5","2","C++ Programming, Tin học dự bị","Yes","Yes","5","","The Figure 1 shows a cleaner way and better than talking cause not every student can remember","","This is a great way to help weak student to learn alone","","I have no comments","No"
"s17","06/02/2023","19","Hochiminh city","Vietnam","5","5","5","4","4","4","3","4","4","5","4","4","4","3","3","4","4","4","5","Fulltime student","18-25","4","3","Nhập môn lập trình, Tin học dự bị, Tiếng Anh","Yes","Yes","4","Tôi cảm thấy nó khá là hấp dẫn và hữu ích","","Tôi cảm thấy nó phù hợp với tôi","","Tôi cảm thấy nó khá là thú vị","","Yes"
"s18","06/02/2023","19","Hochiminh city","Vietnam","3","4","4","3","5","3","4","4","5","4","2","2","3","3","2","2","2","5","2","Fulltime student","18-25","3","3","Nhập môn lập trình, Tin học dự bị, Tiếng Anh","No","No","3","","No, I do not","","No, I do not","","No, I do not","No"
"s19","06/02/2023","18","Hochiminh city","Vietnam","3","4","3","3","4","3","3","3","5","5","3","3","4","3","3","2","3","4","5","Fulltime student","18-25","3","3","Nhập môn lập trình, Tin học dự bị, Tiếng Anh hội nhập quốc tế","No","No","3","Không","","Không","","Không","","Yes"
"s20","06/02/2023","19","Hochiminh city","Vietnam","4","4","5","5","5","3","4","5","5","4","5","4","5","4","5","4","3","5","5","Fulltime student","18-25","3","3","Tiếng Anh hội nhập quốc tế, Nhập môn lập trình, Tin học dự bị","Yes","Yes","4","","No, I do not. It is enough for me to try","","No, I do not. It is enough for me to try","","No, I do not. It is enough for me to try","No"
"s21","06/02/2023","19","","","4","5","4","5","4","4","4","5","5","5","4","4","4","4","5","4","4","5","4","Fulltime student","18-25","2","3","Nhập môn lập trình, Tin học dự bị, English","Yes","Yes","4","","No, I do not. It is enough for me to try","","No, I do not. It is enough for me to try","","No, I do not. It is enough for me to try","No"
"s22","06/02/2023","18","","","4","5","5","4","5","4","4","4","4","4","4","5","5","4","3","4","4","5","4","Fulltime student","18-25","4","2","Introduction Programming, Preparatory informatics","Yes","Yes","4","","No comment, simple to observe and easier to understand","","Allow to have some extra learning paths about the function","","No comments","No"
