id,group,s1.1,s1.2,s1.3,s1.4,s1.5,s1.6,s1.7,s1.8,s1.9,s1.10,s2.1,s2.2,s2.3,s2.4,s2.5,s2.6,s2.7,s2.8,s2.9,s2.10,s2.11,s2.12,s2.13,s2.14,s2.15,s2.16,s2.17,s2.18,s2.19,s2.20, pre , post ,diff,diffPercent
1,control,1,5,5,3,2,4,3,4,4,2,1,3,2,3,4,4,1,3,5,3,1,5,2,none,1,2,4,none,none,none, 2.05 , 6.65 ,4.60,224.52
2,control,3,4,2,2,1,1,4,4,2,3,4,4,3,3,5,2,3,1,3,4,2,3,2,none,2,3,1,none,none,none, 3.89 , 2.03 ,-1.86,-47.80
3,control,4,2,2,5,2,5,4,2,3,2,2,4,4,1,4,2,2,3,4,4,3,2,1,none,3,5,4,none,none,none, 4.02 , 9.81 ,5.79,143.79
4,control,1,4,1,3,2,1,3,2,1,3,2,5,1,4,3,4,3,3,3,1,3,1,2,none,3,4,2,none,none,none, 4.11 , 8.57 ,4.47,108.78
5,control,3,4,1,2,4,4,3,3,2,5,3,5,4,2,1,1,2,2,3,5,3,2,3,none,5,5,5,none,none,none, 6.27 , 6.18 ,-0.09,-1.48
6,control,1,2,4,4,2,2,3,5,1,4,3,3,3,5,3,1,4,1,2,2,5,2,2,none,4,3,2,none,none,none, 0.26 , 4.73 ,4.47,1743.13
7,control,4,2,2,3,3,2,4,3,2,2,4,1,4,4,5,4,4,2,3,2,4,6,1,none,5,2,4,none,none,none, 8.20 , 0.26 ,-7.94,-96.80
8,control,2,4,5,3,3,2,2,3,5,1,2,1,1,4,2,2,3,3,4,2,4,3,2,none,3,4,4,none,none,none, 1.64 , 2.88 ,1.25,76.04
9,control,4,4,1,4,2,3,4,2,4,1,3,4,1,3,2,2,3,2,1,4,4,2,1,none,3,4,2,none,none,none, 6.03 , 8.47 ,2.44,40.45
10,control,3,2,3,3,5,1,4,5,4,4,4,2,2,3,4,3,5,3,4,3,2,3,2,none,4,3,2,none,none,none, 5.25 , 9.43 ,4.18,79.63
11,control,3,2,4,3,1,4,2,2,2,3,4,3,2,3,3,2,2,2,5,3,3,2,2,none,5,3,4,none,none,none, 6.38 , 0.74 ,-5.64,-88.46
12,control,4,2,1,4,2,3,4,1,3,4,2,2,3,5,4,5,2,4,3,5,5,6,2,none,4,5,4,none,none,none, 2.28 , 4.56 ,2.28,100.25
13,control,3,2,1,2,1,2,4,3,4,4,5,2,4,5,4,2,1,1,4,4,4,3,2,none,2,3,3,none,none,none, 1.22 , 0.05 ,-1.17,-96.02
14,control,2,2,4,5,4,3,2,4,5,2,3,2,2,4,4,2,2,1,5,3,1,1,1,none,2,2,4,none,none,none, 6.80 , 6.14 ,-0.66,-9.66
15,control,4,5,3,2,2,3,2,5,1,2,4,4,4,4,5,4,5,3,3,4,5,6,3,none,2,4,4,none,none,none, 6.59 , 5.35 ,-1.24,-18.83
16,control,3,3,4,1,4,3,3,4,4,1,4,2,2,2,1,4,3,3,3,4,3,5,2,none,2,1,4,none,none,none, 4.18 , 9.62 ,5.44,130.01
17,control,5,2,2,3,2,3,1,4,3,2,2,2,4,2,3,1,2,4,5,5,1,1,2,none,1,4,1,none,none,none, 2.96 , 1.82 ,-1.14,-38.46
18,experimental,4,1,5,2,4,4,5,2,3,5,5,3,1,4,4,4,5,5,4,1,2,4,2,none,3,3,4,none,none,none, 4.58 , 4.45 ,-0.12,-2.73
19,experimental,4,3,5,4,4,4,1,3,3,3,4,3,5,2,1,3,2,2,4,4,4,6,1,none,3,3,5,none,none,none, 3.30 , 6.03 ,2.73,82.60
20,experimental,3,4,2,4,5,1,2,1,4,3,2,3,2,2,4,4,2,2,5,4,1,4,3,none,2,2,5,none,none,none, 2.65 , 4.40 ,1.76,66.34
21,experimental,4,2,5,3,2,4,2,2,3,1,4,4,1,4,3,5,2,5,2,2,4,4,1,none,3,1,2,none,none,none, 0.27 , 2.10 ,1.83,675.51
22,experimental,4,5,3,4,1,4,5,3,3,4,1,2,5,4,4,4,2,2,2,2,3,1,1,none,3,2,2,none,none,none, 9.64 , 0.46 ,-9.18,-95.19
23,experimental,1,1,2,3,2,2,4,2,3,5,5,1,2,4,4,2,4,3,3,2,5,1,3,none,1,4,5,none,none,none, 9.88 , 4.57 ,-5.31,-53.73
24,experimental,1,3,3,5,2,2,4,2,5,1,1,3,4,3,2,1,3,2,2,1,5,7,1,none,2,2,2,none,none,none, 3.21 , 1.30 ,-1.91,-59.42
25,experimental,2,3,3,5,3,4,4,3,2,2,1,2,2,1,3,2,3,4,2,3,4,2,1,none,4,2,4,none,none,none, 6.91 , 0.21 ,-6.70,-97.00
26,experimental,2,2,3,3,2,2,4,1,2,4,5,3,1,3,5,2,2,2,3,3,2,4,1,none,4,3,5,none,none,none, 0.24 , 5.61 ,5.37,2225.26
27,experimental,4,1,2,2,1,5,3,3,3,3,3,3,1,3,5,5,4,5,3,1,4,4,1,none,3,2,2,none,none,none, 8.49 , 9.65 ,1.16,13.62
28,experimental,1,3,1,2,2,3,2,3,2,1,5,1,3,2,2,1,1,2,2,4,4,5,2,none,2,2,4,none,none,none, 1.51 , 1.85 ,0.35,23.13
29,experimental,3,4,4,5,4,3,3,1,4,4,2,3,5,1,5,4,4,5,1,2,2,6,2,none,2,3,5,none,none,none, 5.73 , 3.36 ,-2.36,-41.25
30,experimental,1,2,1,5,4,2,3,2,2,2,1,2,1,3,5,1,1,2,2,2,2,2,2,none,2,4,3,none,none,none, 0.04 , 1.92 ,1.88,4705.43
31,experimental,2,2,2,3,4,3,4,2,2,3,4,4,5,3,2,5,3,4,3,2,3,1,3,none,2,4,2,none,none,none, 5.46 , 7.82 ,2.36,43.14
32,experimental,1,3,1,3,5,5,3,2,2,2,3,4,4,4,3,3,2,3,3,2,1,4,2,none,4,3,5,none,none,none, 2.39 , 0.49 ,-1.90,-79.69
33,experimental,5,5,5,3,2,3,3,4,4,3,1,3,2,3,1,4,1,3,2,1,2,7,2,none,4,3,5,none,none,none, 3.17 , 3.48 ,0.31,9.63
34,experimental,2,3,2,4,3,4,1,2,4,4,2,3,2,2,5,4,2,5,4,3,4,4,2,none,3,4,3,none,none,none, 8.13 , 5.01 ,-3.12,-38.37
