id,group,s1.1,s1.2,s1.3,s1.4,s1.5,s1.6,s1.7,s1.8,s1.9,s1.10,s2.1,s2.2,s2.3,s2.4,s2.5,s2.6,s2.7,s2.8,s2.9,s2.10,s2.11,s2.12,s2.13,s2.14,s2.15,s2.16,s2.17,s2.18,s2.19,s2.20,pre,post,diff,diffPercent
1,control,4,4,5,5,4,4,4,4,5,4,5,3,5,5,4,4,4,4,4,1,18-25,1,3,"English, Prepavatory technology",Yes,Yes,4,No comment,The system cares about the interests of users,Informative and easy to understand,2.559920415,5.839116735,3.28,1.28
2,control,3,4,5,2,4,4,3,5,4,3,3,4,3,3,4,4,5,4,3,1,18-25,3,3,"Information technology, English, Preparatory informatics",Yes,Yes,3,Enough,"I think Figure 1 and Figure 2 should use light colors (blue, orange, green)",Enough,6.250474225,5.617984111,-0.63,-0.10
3,control,3,5,5,4,4,4,3,4,5,5,4,4,4,4,3,4,4,5,3,1,18-25,5,2,"Programming, Computer Office",Yes,Yes,5,New and creative,System can be update every 3 months,It could cahnge the way of study and outcome students,5.649153359,7.034106842,1.38,0.25
4,control,5,4,5,4,4,3,4,5,5,5,5,5,5,5,5,5,5,4,2,1,18-25,1,4,"Nhập môn lập trình, Tiếng Anh hội nhập quốc tế 1, Tiếng Anh hội nhập quốc tế 2, Tin học dự bị",Yes,Yes,5,,,,4.553450942,2.212054094,-2.34,-0.51
5,control,4,4,5,4,4,4,4,4,5,4,4,4,3,5,4,5,5,5,4,1,18-25,4,3,"English, IT, Programming",Yes,Yes,4,,,,7.822505744,8.038577201,0.22,0.03
6,control,4,4,4,3,3,3,3,4,5,5,4,4,3,4,4,4,4,5,4,1,18-25,2,2,"Tiếng Anh hội nhập quốc tế, Nhập môn lập trình",Yes,Yes,3,,,,7.68818211,7.966519217,0.28,0.04
7,control,3,4,3,4,4,3,4,4,5,3,4,4,4,4,5,3,3,4,3,1,18-25,3,3,"English, Computing, Information technology (Programmer)",Yes,Yes,4,Its very creative way to improving the learning path,Its very suitable for me,It's very helpful in learning and knowing,2.254899113,4.279758961,2.02,0.90
8,control,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,Larger than 25,3,4,"Nhập môn tâm lý, Lịch sử tâm lý, Anh văn, Tin học",Yes,Yes,5,,,,1.618125288,9.132102183,7.51,4.64
9,control,5,4,5,4,5,3,4,4,4,4,5,5,5,5,4,4,4,5,4,1,18-25,4,4,"Tin học dự bị, Kinh tế vi mô, Tin học ứng dụng kinh tế, Triết học Mác Lê nin",Yes,Yes,5,"No, I think it's good","No, I think it í easy to use","No, its perfect and help students easy to use and understand it",4.978946677,9.813724955,4.83,0.97
10,control,3,3,4,2,2,5,3,3,1,2,4,4,3,5,5,4,3,5,3,1,Less than 18,2,4,"Tin học dự bị, Tiếng Anh, Bắn cung",Yes,Yes,3,,,,0.904674574,9.944327483,9.04,9.99
11,control,4,5,4,4,4,3,3,4,5,3,4,4,3,4,4,4,4,5,4,1,18-25,2,3,"Nhập môn lập trình, Tin học dự bị, Tiếng Anh hội nhập quốc tế",Yes,Yes,4,,,,6.612740475,2.32162847,-4.29,-0.65
12,control,1,2,2,1,3,1,1,1,1,1,2,1,4,5,5,2,4,4,4,1,18-25,5,3,"Nhập môn lập trình, Tin học dự bị, English",Yes,Yes,5,"In my opinion, you should focus on the content of the lesson, use image and video, increase security, edit the display",I do not have some recommend,I do not have the feedback,6.762707393,8.302637662,1.54,0.23
13,control,4,5,4,4,4,4,2,4,5,5,4,4,5,4,4,4,4,4,5,1,18-25,4,3,"Tiếng Anh hội nhập quốc tế, Tin học dự bị, Nhập môn lập trình",Yes,Yes,5,I have no idea because I think it is very effective,My comment like Question 8,I do not think I have more idea about this,8.284489493,2.381623958,-5.90,-0.71
14,control,5,4,4,3,4,3,3,4,4,3,4,4,3,3,4,4,4,5,5,1,18-25,5,3,"Nhập môn lập trình, EII, Tin học dự bị",Yes,Yes,4,,,,2.541909145,9.124371693,6.58,2.59
15,control,4,3,4,5,5,5,4,5,5,5,5,5,3,5,4,5,4,5,4,1,18-25,3,3,"Tiếng Anh hội nhập quốc tế, Nhập môn lập trình, Tin học dự bị",Yes,Yes,4,,,,7.617113642,7.241671625,-0.38,-0.05
16,control,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,2,1,18-25,5,2,"C++ Programming, Tin học dự bị",Yes,Yes,5,The Figure 1 shows a cleaner way and better than talking cause not every student can remember,This is a great way to help weak student to learn alone,I have no comments,0.557784794,5.806493056,5.25,9.41
17,control,5,5,5,4,4,4,3,4,4,5,4,4,4,3,3,4,4,4,5,1,18-25,4,3,"Nhập môn lập trình, Tin học dự bị, Tiếng Anh",Yes,Yes,4,,,,0.909023838,4.106664839,3.20,3.52
18,control,3,4,4,3,5,3,4,4,5,4,2,2,3,3,2,2,2,5,2,1,18-25,3,3,"Nhập môn lập trình, Tin học dự bị, Tiếng Anh",No,No,3,"No, I do not","No, I do not","No, I do not",2.631535864,7.863048585,5.23,1.99
19,control,3,4,3,3,4,3,3,3,5,5,3,3,4,3,3,2,3,4,5,1,18-25,3,3,"Nhập môn lập trình, Tin học dự bị, Tiếng Anh hội nhập quốc tế",No,No,3,,,,3.040302306,8.276823346,5.24,1.72
20,control,4,4,5,5,5,3,4,5,5,4,5,4,5,4,5,4,3,5,5,1,18-25,3,3,"Tiếng Anh hội nhập quốc tế, Nhập môn lập trình, Tin học dự bị",Yes,Yes,4,"No, I do not. It is enough for me to try","No, I do not. It is enough for me to try","No, I do not. It is enough for me to try",8.134778391,10.92232054,2.79,0.34
21,control,4,5,4,5,4,4,4,5,5,5,4,4,4,4,5,4,4,5,4,1,18-25,2,3,"Nhập môn lập trình, Tin học dự bị, English",Yes,Yes,4,"No, I do not. It is enough for me to try","No, I do not. It is enough for me to try","No, I do not. It is enough for me to try",8.489715153,2.479892409,-6.01,-0.71
22,control,4,5,5,4,5,4,4,4,4,4,4,5,5,4,3,4,4,5,4,1,18-25,4,2,"Introduction Programming, Preparatory informatics",Yes,Yes,4,"No comment, simple to observe and easier to understand",Allow to have some extra learning paths about the function,No comments,3.695754888,9.034265129,5.34,1.44
23,control,5,1,5,5,1,1,5,1,5,5,4,3,5,4,1,4,4,5,3,1,18-25,3,4,"Nhập môn lập trình, Tin học dự bị, Tiếng Anh hội nhập quốc tế 1, Tiếng Anh hội nhập quốc tế 2",Yes,Yes,4,,,,5.032432333,4.572236279,-0.46,-0.09
24,control,4,5,3,4,4,3,,5,4,3,4,5,3,4,4,3,5,4,4,1,18-25,1,,"Nhập môn lập trình, English, Tin học dự bị",Yes,Yes,5,,,,3.95375098,6.54797639,2.59,0.66
25,control,5,4,4,4,4,3,,5,4,2,5,5,5,5,5,5,5,5,5,1,Larger than 25,2,3,"Tin học dự bị, Nhập môn lập trình, Anh văn",Yes,Yes,5,,,,0.375179941,3.636867216,3.26,8.69
26,control,1,1,1,1,3,3,1,1,1,3,2,4,4,4,5,5,4,3,3,1,18-25,2,3,"Tin học dự bị, Công nghệ thông tin, Anh văn",Yes,Yes,4,,,,5.928597635,4.177733683,-1.75,-0.30
27,control,5,4,4,4,4,5,5,5,5,4,5,5,5,5,5,4,5,5,4,1,18-25,1,2,"Triết học Mác Leenin, Giáo dục thể chất",Yes,Yes,5,I feel this suit for everyone to knowledge about my life,I think that it is very good,,0.745950443,10.17555236,9.43,12.64
28,control,3,4,4,4,4,4,5,5,5,3,4,4,4,5,4,5,4,5,4,1,18-25,1,2,"Lịch sử Đảng, Nhập môn Hệ thống thông tin quản lý",Yes,Yes,4,I fell pretty good in Figure 1,I fell pretty good in Figure 1 and Figure 2,I fell pretty good in Figure 3,8.917280418,2.887870794,-6.03,-0.68
29,control,3,3,4,4,4,3,2,4,5,5,4,4,4,5,5,4,5,5,4,1,18-25,2,1,Introduction to management information systems,Yes,Yes,4,I fell pretty good in Figure 1,I fell it useful,I fell pretty good in Figure 3,4.498564533,4.861248148,0.36,0.08
30,control,4,4,3,5,4,5,3,4,5,4,4,4,5,5,4,4,4,5,4,1,18-25,4,2,"International Finance, Nhập môn Hệ thống thông tin quản lý",Yes,Yes,4,,,,0.60085925,3.043707958,2.44,4.07
31,control,2,4,5,3,3,4,2,2,4,3,2,4,4,2,4,4,4,4,4,1,18-25,2,3,"Kinh tế vi mô, Quản lý dữ liệu với Excel và Access, Hệ thống thông tin quản lý",Yes,No,2,Necessary and should applied to education,Necessary and should applied to education,Necessary and should applied to education,4.855781273,6.076554377,1.22,0.25
32,control,4,3,4,5,4,5,2,4,5,3,4,4,4,4,5,3,4,4,3,1,18-25,4,2,"Bơi, Hệ thống thông tin quản lý",Yes,Yes,3,"In my opinion, this is a good figure. In this figure, we can see lecture with ascending level",,"I think it is good, but it has some problem in there. In this figure, we can just see the percentage score about skill that we do before but it doesnot have solution that people (student) can improve percentage in this skill",7.121216158,2.55513325,-4.57,-0.64
