id,group,s1.1,s1.2,s1.3,s1.4,s1.5,s1.6,s1.7,s1.8,s1.9,s1.10,s2.1,s2.2,s2.3,s2.4,s2.5,s2.6,s2.7,s2.8,s2.9,s2.10,s2.11,s2.12,s2.13,s2.14,s2.15,s2.16,s2.17,s2.18,s2.19,s2.20,pre,post,diff,diffPercent
1,control,3,2,2,1,4,2,1,3,3,3,4,4,2,3,2,4,4,3,5,5,3,6,2,none,1,2,3,none,none,none,7.806066529,8.497387491,0.69,0.09
2,control,4,4,4,3,1,3,3,5,3,3,3,1,3,2,2,4,5,2,1,5,2,3,2,none,3,4,4,none,none,none,4.113075339,6.459038228,2.35,0.57
3,control,1,4,2,4,4,4,1,1,5,2,2,5,4,2,4,2,5,3,2,3,1,6,2,none,3,2,2,none,none,none,4.577629668,4.632229444,0.05,0.01
4,control,1,5,3,3,2,2,3,2,2,1,5,1,1,3,2,3,1,4,2,2,4,2,1,none,1,2,2,none,none,none,0.128987654,3.204741105,3.08,23.85
5,control,5,2,2,3,2,2,3,2,5,3,4,2,3,3,4,2,4,5,2,4,4,2,3,none,3,2,4,none,none,none,1.634940841,7.026463239,5.39,3.30
6,control,2,2,2,2,2,2,2,4,5,5,2,1,4,2,4,3,1,5,5,5,1,6,2,none,5,2,1,none,none,none,8.840589904,1.819816916,-7.02,-0.79
7,control,3,3,1,4,2,3,2,4,5,3,5,1,2,2,4,3,3,1,2,1,4,7,1,none,5,4,5,none,none,none,6.592852029,1.877954161,-4.71,-0.72
8,control,3,4,3,4,2,4,1,4,3,2,2,3,4,4,2,2,2,4,4,2,2,5,1,none,3,2,1,none,none,none,5.044477086,5.964243197,0.92,0.18
9,control,2,5,2,4,5,1,2,1,4,4,2,4,4,3,3,5,1,2,3,4,4,3,3,none,3,1,2,none,none,none,7.04771113,0.685243946,-6.36,-0.90
10,control,2,1,2,3,4,5,2,3,5,3,4,2,1,4,5,4,2,3,2,4,4,2,2,none,3,3,2,none,none,none,3.169176542,7.575451705,4.41,1.39
11,control,2,1,3,3,3,4,2,4,3,3,2,5,3,3,4,2,5,2,3,3,3,5,3,none,5,3,2,none,none,none,0.898980607,8.842970982,7.94,8.84
