id,group,s1.1,s1.2,s1.3,s1.4,s1.5,s1.6,s1.7,s1.8,s1.9,s1.10,s2.1,s2.2,s2.3,s2.4,s2.5,s2.6,s2.7,s2.8,s2.9,s2.10,s2.11,s2.12,s2.13,s2.14,s2.15,s2.16,s2.17,s2.18,s2.19,s2.20,pre,post,diff,diffPercent
1,control,3,5,3,3,4,4,4,2,2,1,1,2,2,3,3,2,4,1,4,2,1,4,3,none,2,1,5,none,none,none,8.411742756,3.999455394,-4.41,-0.52
2,control,4,1,5,2,1,2,1,5,2,4,2,3,4,1,2,5,2,1,2,2,3,3,3,none,2,1,3,none,none,none,8.409273152,6.830713823,-1.58,-0.19
3,control,5,2,3,2,2,2,5,4,4,4,5,3,3,3,1,4,2,4,5,3,2,3,2,none,2,1,2,none,none,none,0.197338601,5.08276756,4.89,24.76
4,control,4,4,4,5,4,3,1,2,3,1,3,3,5,3,2,3,3,2,1,2,3,3,3,none,1,1,3,none,none,none,7.89433209,6.888928442,-1.01,-0.13
5,control,2,4,2,4,4,3,2,5,4,4,2,2,3,4,4,1,5,3,4,2,2,2,2,none,1,1,4,none,none,none,0.588752165,3.767501001,3.18,5.40
6,control,3,5,1,4,3,2,3,4,1,1,2,3,2,1,4,3,3,3,4,2,2,3,3,none,2,2,2,none,none,none,5.242361067,7.338896584,2.10,0.40
7,control,3,5,3,1,5,4,4,4,3,1,3,3,4,4,2,3,2,2,3,1,3,3,2,none,1,1,3,none,none,none,5.63933493,1.757674825,-3.88,-0.69
8,control,3,3,1,4,2,1,1,4,4,1,4,3,3,3,3,3,1,1,3,1,3,5,2,none,1,2,4,none,none,none,4.886231035,6.116456881,1.23,0.25
9,control,3,3,4,4,5,3,4,4,2,3,2,4,2,4,3,4,3,2,2,2,2,3,1,none,1,1,4,none,none,none,5.648650139,8.618622998,2.97,0.53
10,control,2,4,4,2,4,4,5,5,3,4,2,2,3,3,2,4,3,5,4,1,2,4,2,none,1,1,4,none,none,none,1.89338098,2.547867022,0.65,0.35
11,control,1,2,4,1,4,4,3,3,3,3,3,1,3,2,5,4,3,2,4,3,3,2,2,none,2,1,4,none,none,none,8.137464047,1.266983336,-6.87,-0.84
